season,player_seasons,unique_players,mean_pts_per_game,median_pts_per_game,p90_pts_per_game,max_pts_per_game,mean_minutes_per_game,mean_fga_per_game,traded_player_seasons,traded_player_season_share
1950,223,223,7.002878217023449,6.0625,12.86659836065574,27.426470588235293,,7.392468365007479,43,0.19282511210762332
1951,135,135,7.75819209809876,7.112903225806452,14.577272727272735,28.41176470588235,,7.832812419949599,25,0.18518518518518517
1952,116,116,8.071710348075912,7.646172248803827,14.846439549180328,25.363636363636363,23.891826560349983,7.94096552387141,10,0.08620689655172414
1953,124,124,7.775620344607277,6.970980996404725,13.919230769230769,22.34285714285714,23.44492417705587,7.447126012508618,18,0.14516129032258066
1954,110,110,7.225835736307639,6.81218487394958,13.192077464788733,24.43055555555556,22.312575269220936,6.963511916864945,12,0.10909090909090909
1955,105,105,8.272952148835175,6.640625,17.154285714285717,22.65277777777778,22.349424927444236,7.974681586986275,11,0.10476190476190476
1956,92,92,9.396706300712095,8.411971830985916,16.73138474295191,25.68055555555556,23.202803775113217,8.750160495158456,7,0.07608695652173914
1957,99,99,9.076280409784935,8.279411764705882,16.31388888888889,25.591549295774648,22.459303729345663,8.760418881363599,8,0.08080808080808081
1958,99,99,9.663986745074201,7.838235294117647,17.974841628959275,27.791666666666668,22.39658030838464,9.439619952789513,6,0.06060606060606061
1959,92,92,10.236869281522479,8.815821256038646,19.719523099850974,29.23611111111111,23.34173662911202,9.77759761694111,9,0.09782608695652174
1960,99,99,10.568825102043322,8.666666666666666,21.427076923076925,37.59722222222222,22.746933073032167,10.125204189565997,12,0.12121212121212122
1961,93,93,11.151317021080057,8.430379746835444,22.53113553113553,38.392405063291136,23.22021010285839,10.443603302051967,5,0.053763440860215055
1962,113,113,10.899257808987283,7.8307692307692305,22.0148653034729,50.3625,22.684346179035703,10.066133966499011,11,0.09734513274336283
1963,117,117,10.11407990261045,8.341772151898734,19.4125,44.825,21.884691410177698,9.036152331820793,8,0.06837606837606838
1964,111,111,10.182172884734252,8.573529411764707,18.371794871794872,36.85,22.587386801005575,9.221576176609473,11,0.0990990990990991
1965,114,114,10.059098287289588,8.028676470588236,18.565362269309638,34.71232876712329,22.240514615618338,9.184557594096344,9,0.07894736842105263
1966,111,111,10.545071800227934,8.392857142857142,19.575,33.53164556962025,22.261757142251447,9.501251840817575,12,0.10810810810810811
1967,123,123,10.910796130784357,9.2987012987013,19.87901234567901,35.57692307692308,22.454792072091582,9.615208238731185,5,0.04065040650406504
1968,151,151,10.57512358566252,9.404255319148936,20.50980392156863,29.16923076923077,22.22282973192204,9.23527478319137,13,0.08609271523178808
1969,168,168,10.521330488037714,8.797380952380951,21.509823848238483,28.37804878048781,22.91366115182049,9.386582157055503,19,0.1130952380952381
1970,171,171,10.947809292552083,8.945205479452055,21.930232558139537,31.2027027027027,22.829359961479604,9.375363103932504,15,0.08771929824561403
1971,217,217,10.159345570002149,8.339285714285714,20.636807095343684,31.65853658536585,22.041257350454913,8.935725532590958,14,0.06451612903225806
1972,216,216,10.161706299266038,8.335081585081586,21.266100178890877,34.839506172839506,22.521136091243665,8.93632273368256,24,0.1111111111111111
1973,215,215,9.752378129201036,7.833333333333333,20.096296296296295,33.9875,22.24506158657948,8.836844129519754,27,0.12558139534883722
1974,222,222,9.479996205473263,7.571604938271605,19.538180112570362,30.554054054054053,21.960248562327955,8.49109893006213,11,0.04954954954954955
1975,235,235,9.304744005290452,7.714285714285714,19.14611973392461,34.52439024390244,22.257619713011913,8.338992039272846,20,0.0851063829787234
1976,238,238,9.082297494651941,7.742673833882434,18.969326923076924,31.115384615384617,21.441661338668883,8.045136050069381,18,0.07563025210084033
1977,295,295,9.353287396414853,7.967213114754099,18.84098828001268,31.136986301369863,21.441225005331635,8.157839369515708,29,0.09830508474576272
1978,285,285,9.754233475052981,8.592105263157896,19.40593220338983,27.21951219512195,22.103876080137564,8.441899260903053,44,0.1543859649122807
1979,280,280,9.953099290785426,8.093841642228739,19.769984981763574,29.5625,22.029949530980172,8.342892104055519,31,0.11071428571428571
1980,287,287,9.846677195558925,8.67741935483871,19.10791930141524,33.14102564102564,22.18993084222565,8.256113073149624,34,0.11846689895470383
1981,304,304,9.585135621082223,8.105974066069775,18.45328330206378,30.65,21.903622751343182,7.962461376422738,29,0.09539473684210527
1982,316,316,9.301744861319188,7.901234567901234,18.521428571428572,32.29113924050633,21.223986432132648,7.6294242325072945,28,0.08860759493670886
1983,316,316,9.32404913479759,7.699675324675325,19.394595910418694,30.727272727272727,21.18419665997007,7.7696185768366135,36,0.11392405063291139
1984,310,310,9.267345559167811,7.797460982995574,19.08229535864979,30.60759493670886,20.79377397602596,7.492082805639711,15,0.04838709677419355
1985,320,320,9.419758616305227,7.964685378829572,19.51186389641675,32.89090909090909,21.11020664619014,7.662067746184697,20,0.0625
1986,325,325,9.430440761056992,7.962025316455696,18.846272855133616,30.33333333333333,20.91653066218924,7.66430950742007,25,0.07692307692307693
1987,335,335,9.241653493417505,7.823529411764706,18.83658536585366,37.08536585365854,20.785640397270313,7.588718871156638,21,0.0626865671641791
1988,332,332,9.100987109432005,7.614401858304297,18.6229175050302,34.97560975609756,20.7544259426186,7.471125505628528,46,0.13855421686746988
1989,353,353,9.077172685038617,7.3375,18.558701298701298,32.50617283950617,20.523713605723056,7.485390940654231,42,0.11898016997167139
1990,381,381,8.932291110793148,6.958904109589041,17.9125,33.573170731707314,20.57497410524891,7.3667811562664705,38,0.09973753280839895
1991,387,387,8.98946899993131,7.067567567567568,18.40823529411765,31.463414634146343,20.775183302353977,7.436428124881971,26,0.06718346253229975
1992,386,386,8.861464523286225,7.587748085638381,18.153643480879254,30.05,20.65746668185624,7.44360108693451,33,0.08549222797927461
1993,390,390,8.930889844433047,7.474293928631829,17.902445652173913,32.57692307692308,20.760612131437725,7.3593399887641935,28,0.07179487179487179
1994,403,403,8.300220133904805,6.947368421052632,16.681012658227846,29.7875,20.235776702114162,6.9845601064612755,37,0.09181141439205956
1995,407,407,8.478514768353024,6.850746268656716,17.54638888888889,29.303797468354432,20.71857559124269,6.902591414370342,22,0.05405405405405406
1996,429,429,8.417932813213385,6.714285714285714,17.204529616724734,30.37804878048781,20.868244305881657,6.858978840383922,56,0.13053613053613053
1997,441,441,8.026223947741258,6.25,17.175,29.646341463414632,20.6596205869823,6.688189350646521,63,0.14285714285714285
1998,439,439,7.946735698664482,6.372881355932203,16.440425531914894,28.74390243902439,20.493105243895897,6.721350142064314,53,0.12072892938496584
1999,440,440,7.340965512506554,6.06,15.60818181818182,26.75,19.866286676913987,6.348128373285799,33,0.075
2000,439,439,7.972834990871958,6.566037735849057,16.68535750940814,29.670886075949365,20.491789273797387,6.847894598890047,28,0.06378132118451026
2001,441,441,7.808266491227834,6.073170731707317,16.46,31.08450704225352,20.685647219393598,6.736009494594645,47,0.10657596371882086
2002,440,440,7.981959089305658,6.464442815249267,16.58561368209256,31.383333333333333,20.830503211035275,6.905702403597515,30,0.06818181818181818
2003,428,428,7.845782575647838,6.113782051282051,17.315829528158297,32.093333333333334,20.563890419155037,6.7703146487287595,27,0.0630841121495327
2004,442,442,7.742601850410373,5.991228070175438,16.776829268292683,28.029850746268657,20.58767186254838,6.728773450536677,68,0.15384615384615385
