feature,count,mean,std,min,25%,50%,75%,max,missing_count,missing_share
age,25319.0,26.442237055175955,3.9642991279870707,18.0,23.0,26.0,29.0,44.0,0,0.0
g,25319.0,54.24613926300407,25.12624735904219,1.0,36.0,62.0,76.0,88.0,0,0.0
mp_per_game,24961.0,20.692523484100747,10.218294195843049,0.0,12.206349206349206,20.10909090909091,29.28358208955224,48.525,358,0.014139578972313282
fga_per_game,25319.0,7.3353194964184,4.8908878820260036,0.0,3.488346883468835,6.1940298507462686,10.271956856702618,39.4875,0,0.0
fg_percent,25239.0,0.4380088294140584,0.09368145715697196,0.0,0.4,0.4424280350438047,0.48412316482576345,1.0,80,0.0031596824519135825
x3pa_per_game,25319.0,1.2263253584650962,1.769071467843668,0.0,0.0,0.2575757575757575,1.9878048780487805,13.17948717948718,0,0.0
x3p_percent,17692.0,0.26570472473283874,0.16588291609237957,0.0,0.1666666666666666,0.3125,0.3686694130242517,1.0,7627,0.3012362257593112
fta_per_game,25319.0,2.239093211443724,1.9000150549108636,0.0,0.8823529411764706,1.68,3.0522898154477103,17.0375,0,0.0
ft_percent,24553.0,0.7268088051211344,0.13707888619262343,0.0,0.6666666666666666,0.75,0.812807881773399,1.0,766,0.030253959477072555
trb_per_game,25096.0,3.8182914655277806,2.828727259569131,0.0,1.8138549467875442,3.1104336043360434,5.03292349726776,27.20253164556962,223,0.008807614834709111
ast_per_game,25319.0,1.9709007523371633,1.8390990224446209,0.0,0.6756756756756757,1.4,2.6666666666666665,14.538461538461538,0,0.0
stl_per_game,22105.0,0.6814424414742286,0.476503778685872,0.0,0.3333333333333333,0.5925925925925926,0.935064935064935,3.6707317073170738,3214,0.1269402425056282
blk_per_game,22105.0,0.42018293246610255,0.5004538423115773,0.0,0.1095890410958904,0.2571428571428571,0.5333333333333333,5.560975609756097,3214,0.1269402425056282
tov_per_game,21115.0,1.2566970824750519,0.8388175306899697,0.0,0.625,1.0634920634920637,1.725,5.728395061728395,4204,0.16604131284805876
pts_per_game,25319.0,8.704764176799477,6.256684374153756,0.0,3.8461538461538463,7.180555555555555,12.218563400070249,50.3625,0,0.0
